lexemeId,lemma,category,categoryLabel,senses
http://www.wikidata.org/entity/L580337,violoncelo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L580339,chama,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L580445,loja,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L580453,cerveja,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L580468,mancha,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L582676,Jogos Olímpicos,http://www.wikidata.org/entity/Q187931,phrase,1
http://www.wikidata.org/entity/L582677,ginástica,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584019,âmbito,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584020,desejo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584021,horizonte,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584022,par,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584025,assassinato,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584026,aniversário,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584447,penso higiénico,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584514,empregado de mesa,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L584824,vulgarismo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L58566,livro,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L593744,permanente,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L593745,monarquia,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L593748,favorito,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L618044,efeito estufa,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618547,em boca fechada não entra mosca,http://www.wikidata.org/entity/Q35102,proverb,1
http://www.wikidata.org/entity/L618548,fechado,http://www.wikidata.org/entity/Q34698,adjective,1
http://www.wikidata.org/entity/L618551,"casa de ferreiro, espeto de pau",http://www.wikidata.org/entity/Q35102,proverb,1
http://www.wikidata.org/entity/L618555,a união faz a força,http://www.wikidata.org/entity/Q35102,proverb,1
http://www.wikidata.org/entity/L618556,"olho por olho, dente por dente",http://www.wikidata.org/entity/Q35102,proverb,1
http://www.wikidata.org/entity/L618581,acertar na mosca,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L618582,abandonar o barco,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L618583,barco,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618584,amigo da onça,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618586,cara de pau,http://www.wikidata.org/entity/Q184511,idiom,1
http://www.wikidata.org/entity/L618638,estar com a cabeça nas nuvens,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L618639,estar com a faca e o queijo na mão,http://www.wikidata.org/entity/Q10976085,verbal locution,1
http://www.wikidata.org/entity/L618642,pedra no sapato,http://www.wikidata.org/entity/Q1401131,noun phrase,1
http://www.wikidata.org/entity/L618647,mala sem alça,http://www.wikidata.org/entity/Q1401131,noun phrase,1
http://www.wikidata.org/entity/L618649,alça,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618651,dor,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618652,cotovelo,http://www.wikidata.org/entity/Q1084,noun,1
http://www.wikidata.org/entity/L618653,estar com a corda no pescoço,http://www.wikidata.org/entity/Q1778442,verb phrase,1
http://www.wikidata.org/entity/L618654,nascer com a bunda virada para a lua,http://www.wikidata.org/entity/Q1778442,verb phrase,1
