entry_id	entry_status	error
DLP-decantador_1-e675e.xml	validated	Entry ID with '.xml' at the end
DLP-multitrofico_1-859a1.xml	new	Entry ID with '.xml' at the end
DLP-democratizador_1-1788a.xml	new	Entry ID with '.xml' at the end
DLP-hegumeno_1-da9cd.xml	new	Entry ID with '.xml' at the end
DLP-gramatura_1-030c9.xml	validated	Entry ID with '.xml' at the end
DLP-desagastar_1-95b9e	new	'[...]' <definition> in sense DLP-desagastar_1-95b9e-1
DLP-abobada_1-bc269	new	'[...]' <definition> in sense DLP-abobada_1-bc269-1
DLP-lourenciano_1-b9b81.xml	validated	Entry ID with '.xml' at the end
DLP-contraexemplo_1-35caa.xml	new	Entry ID with '.xml' at the end
DLP-burmes_1-f356e.xml	validated	Entry ID with '.xml' at the end
DLP-pedopsicologo_1-0b9e9.xml	new	Entry ID with '.xml' at the end
DLP-a-be-ce_1-1f0fd	new	'[...]' <definition> in sense DLP-a-be-ce_1-1f0fd-1
DLP-philosophy_1-e5348	new	'[...]' <definition> in sense DLP-philosophy_1-e5348-1
DLP-bengal_1-8d02c.xml	validated	Entry ID with '.xml' at the end
DLP-criptoativo_1-5d5b5.xml	new	Entry ID with '.xml' at the end
DLP-palestino_1-31f7d.xml	new	Entry ID with '.xml' at the end
DLP-heteroparental_1-38c65.xml	validated	Entry ID with '.xml' at the end
DLP-milorde_1-7a95e.xml	new	Entry ID with '.xml' at the end
DLP-apateista_1-8c3eb.xml	new	Entry ID with '.xml' at the end
DLP-vitrinite_1-6dc9e	new	'[...]' <definition> in sense DLP-vitrinite_1-6dc9e-1
DLP-canario-da-terra_1-a4f5d	new	'[...]' <definition> in sense DLP-canario-da-terra_1-a4f5d-1
DLP-langue_1-092d7	new	'[...]' <definition> in sense DLP-langue_1-092d7-1
DLP-infodemiologia_1-28e72.xml	new	Entry ID with '.xml' at the end
DLP-sumerio_1-2ac33.xml	new	Entry ID with '.xml' at the end
DLP-floema_1-a1112	new	'[...]' <definition> in sense DLP-floema_1-a1112-1
DLP-paucissintomatico_1-10a8f.xml	new	Entry ID with '.xml' at the end
DLP-caca-sonhos_1-def5b.xml	new	Entry ID with '.xml' at the end
DLP-radiestesia_1-35725.xml	new	Entry ID with '.xml' at the end
DLP-enfermeiro-chefe_1-85c62.xml	new	Entry ID with '.xml' at the end
DLP-cornish_rex_1-e7198.xml	validated	Entry ID with '.xml' at the end
DLP-retabulistico_1-83236.xml	validated	Entry ID with '.xml' at the end
DLP-abispar_1-0e907	new	'[...]' <definition> in sense DLP-abispar_1-0e907-1
DLP-peidorreiro_1-054ef.xml	validated	Entry ID with '.xml' at the end
DLP-peloponense_1-3d3ac.xml	edited	Entry ID with '.xml' at the end
DLP-assintomatico_1-bd1c9.xml	new	Entry ID with '.xml' at the end
DLP-pelitico_1-96a30	new	'[...]' <definition> in sense DLP-pelitico_1-96a30-1
DLP-polimedicado_1-4f588.xml	new	Entry ID with '.xml' at the end
DLP-webbia_1-2c9e6	new	empty <definition> in sense DLP-webbia_1-2c9e6-1
DLP-canato_1-c8511.xml	new	Entry ID with '.xml' at the end
DLP-gramagem_1-27c9b.xml	validated	Entry ID with '.xml' at the end
DLP-superfecundacao_1-fb724.xml	new	Entry ID with '.xml' at the end
DLP-macla_1-b10f0	new	'[...]' <definition> in sense DLP-macla_1-b10f0-1
DLP-espetroscopico_1-331e5.xml	new	Entry ID with '.xml' at the end
DLP-abardinar_1-0afb3.xml	new	Entry ID with '.xml' at the end
DLP-accipitrideos_1-edfd1	new	'[...]' <definition> in sense DLP-accipitrideos_1-edfd1-1
DLP-licaone_1-2c5c7.xml	new	Entry ID with '.xml' at the end
DLP-titanossauro_1-8de87.xml	new	Entry ID with '.xml' at the end
DLP-regiano_1-0e903.xml	validated	Entry ID with '.xml' at the end
DLP-reativacao_1-a0603.xml	new	Entry ID with '.xml' at the end
DLP-lipograma_1-e42b2.xml	new	Entry ID with '.xml' at the end
